Updated,2023/10/20,
,,
,,
Stage,Version,EVT_v1.2
Model,Model Name,AHP960
P/N,P/N,EM-960-NM16AHP-X??
ID,ID,New ID (Standard )
MB,MB Ver.,v1.0?
DB,DB Ver.,v1.0?
Develop, stage,Planning：2023/06/06-2023/06/09
,,Kick-off：2023/06/12
,,EVT：2023/9/1-2023/12/02 (11/10_mockup2 review)
,,DVT：2023/12/22-2024/02/21
,,PVT：2024/02/21-2024/04/17
,,Pilot run：2024/02/22-2024/04/26
PM,Owner,Jerry
Client,Customized,玄派
Structure configuration,,
Type,Details,Descriptions
Structure,Form,Gaming Notebook
,Dimension,355* 284 * 26.5~28.5 mm (Based on system total power:150W)(TBC)
,Material/Surface,"A Cover： Metal (Anodize), B/C/D Cover：  Plastic (Texture)"
,Hinge,130 degree hinge
,Weight,~2.6 Kg(TBC)
LCD,Dimension,"16.0""  16:10"
,Resolution,"2560* 1600 WQXGA, TFT LCD, 165Hz, 100% sRGB, Freesync, PSR
2560* 1600 WQXGA, TFT LCD,  240Hz, 100% DCI-P3, Freesync, PSR (Option)
1920*1200 WUXGA, TFT LCD, 144Hz, 45%NTSC, Free-sync (Option)
3840 x 2400 WQUXGA, TFT LCD, 60Hz, support 3D solution with 3D glass,95% Adobe RGB, Freesync,PSR (Option)(TBC)"
Touch panel,Form,N/A
IO Interface,MB IO(Left),1* φ3.5mm standard headphone jack (MB)
,,"1* USB 3.2 Gen2, Super Speed USB 10Gbps, Type-A (MB)"
,,"1* Standard SD Card reader, support SD/MMC/SDHC/SDXC/SD 2.0, up to 2TB, speed up to UHS-I class (MB)"
,DB IO(Right),1* Mini Security Kensington lock Type slot (DB)
,,"1* USB 3.2 Gen2, Super Speed USB 10Gbps, Type-A (DB)"
,,"1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C (Data, DisplayPort 1.4) (MB)"
,,"1* USB4.0, USB4 40Gbps, Type-C, full function (100W Power Delivery, Data, DisplayPort 1.4) (MB)"
,MB IO(Rear),1* φ7.5mm DC-IN port (MB)
,,1* HDMI 2.1 Type A (Support HDMI 2.1 FRL _8K/60hz) (MB)
,,"1* miniDP 1.4(MB)
Not available on M2"
,,"1* RJ45, Giga LAN 10/100/1000Mbps (MB)
Chipset selection: 
①For  10/100/1000 Mbps (autosense) use Intel i219-LM, Gigabit Ethernet
② For  10/100/1000 Mbps (autosense) use Intel i225-LM , Gigabit Ethernet - Complice IEEE 802.3, 802.3u e 802.3ab - Wake-on-LAN (WoL), SNMP, PXE, CSMA/CD and iAMT "
LED indicator,1x Power On/Off/Sleep,"On with Blue light
Off with no light
Sleep with breathing light"
,1xWiFi/Bluetooth,"On with Blue light
Off with no light"
,1xBattery/Charge,"Charging with Red light
Full-charged with Blue light
Off with no light"
,1xWebcam,"On with Blue light
Off with no light"
,2xSSD led,"On with Blue light
Off with no light"
,1xCaps Lock,"On with white light
Off with no light"
Power button,Button,Seperated Power button key
Keyboard,Back light,"Default：Single
Option1 : 4 Zone
Option2：RGB per key"
,Matrix,US/CN compatible
,Others,"Spill resistant with drain for drainage (200CC waterproof),
Typical  keyboard w/o removeable design"
Web camera,Front,"1* 1.0MP (720P) Front, with MIC*2/IR, LED, support Windows LV3
1* 2.0MP(1080P) Front, with MIC*2/IR, LED, support 30fps, Windows LV3(Option)
Support Camera+Mic physical power on/off switch at right side. White LED on when camera is always turned off for privacy
Camera shutter "
,Rear,N/A
,Windows Hello,Optional
Touchpad,Interface type,SPI/ 8pin?
,Size,124* 77* 1.0 mm
,Feature,Support Windows 11 default gesture
Fingerprint,Location,N/A
,Interface type,N/A
,Windows Hello,N/A
Audio,Speaker,"4* Built-in Speaker ( 2* 4Ω/2W, 2* 8Ω/1W)"
,Mic,2* Built-in (dual) digital microphones on camera module with AI noise cancellation (ALC269)
,Others,N/A
Battery,Type,Lithium-ion polymer battery
,Capacity,"1*  80.08Wh, 15.4V/5200mah, 4S1P, Dumb/Smart battery?"
,Certification,"CE, FCC, CCC, CB, MSDS, UN38.3, Airflight transportation report "
,Life,8 Hours (TBD)
Hardware configuration,,
Type,Details,Descriptions
CPU,Module,"AMD Zen4,  AMD Hawk Point HS Series, TDP: 45W"
,,"Ryzen™ 5 8645HS (8C/16T, 5.2GHz/4.0GHz, TDP: 35W~54W)"
,,"Ryzen™ 7 8845HS (8C/16T, 5.1GHz/3.8GHz, TDP: 35W~54W)"
,,"Ryzen™ 9 8945HS (8C/16T, 5.0GHz/3.5GHz, TDP: 35W~54W)"
GPU,Model,"AMD Radeon™ RX7600M XT(P2), 120W, 8GB GDDR6, Smart Shift: 130W
AMD Radeon™ RX7500M(P1), 50-90W, 6GB GDDR6 (option)
AMD Radeon™ RX 6550M(M2), 50-80W,4GB GDDR6 (option)"
Memory,RAM,"2* DDR5 SO-DIMM , up to 32GB DDR5 5600MHz(2x16G)"
LCD Connector,Port,LCD connector optional
M.2 slots x4,Storage/ SSD,"2* PCle G4 (Lanex4)/NVME SSD (M.2 2280), up to 8TB (2x 4TB)"
,Wifi,1* M.2 Key-E 2230 for WIFI 6E + BT5.2 (AMD RZ608)
,SD Card,"1* M.2 Key-E 2230 for Standard SD Card, USB2.0 protocal"
,LTE,N/A
Sensor,G sensor,N/A
,Hall sensor,Support
Thermal Solution,SPPT,SPPT180W
TPM,interface Type,"Default：AMD Pluton, Implemented in system firmware, fTPM2.0 (Firmware TPM)
Option1：Hardware chip on the MB, dTPM 2.0 (Discrete TPM) "
V-PRO ,Type,N/A
RTC,RTC Connector,Support
Others,Feature,"Support AMD/MSFT AI function (Client need to get approval from MSFT)
1. Eye Gaze Correction (MSFT MEP)
2. Background Blur (MSFT MEP)
3. Auto Framing (MSFT MEP)"
Wireless network configuration,,
Type,Details,Descriptions
WIFI,Wifi Chip Model,"Default：RZ616(AMD)_WIFI 6E Dual-band 2Tx2R 802.11ax (2.4GHz/5GHz/6GHz) + Bluetooth 5.2, on M.2 module  (Major Chipset – MT7922A12L)
Alternative：RZ717(AMD)_WIFI7"
,Others,Support Wifi and Bluetooth Power on/off switch
LAN,RJ45,Giga LAN 10/100/1000Mbps (on DB)
LTE,M.2 slot,N/A
Bluetooth,Bluetooth,Support
,Version,BT 5.2
Software configuration,,
Type,Details,Descriptions
Operating System,System,"Windows 12
Windows11 SV2(23H2), Support Modern Standby
All functions should be compatible on Win11 & Linux OS"
,Language Support,Support multi Language
BIOS/EC,UI spec,Standard spec
Accessory,,
Type,Details,Descriptions
Power adapter,Standard Configuration,"Default：1* 230W, DC 100/240V, AC 50/60Hz, 19.5V/xxA AC adapter(Support 150W)
Option1：1* 280W, DC 100/240V, AC 50/60Hz, xxV/xxA AC adapter(Support 180W)"
Certifications,,
Type,Details,Descriptions
Certifications,Safety,CE
,,FCC
,,RoHS
,EPEAT and ECO LABEL standards,"Plastic marking on parts over 25G according to EPEAT and ECO LABEL standards
The plastic resin is PC+ABS, in section 
7. Description is Triangle+resin. Remember the marking must be on all plastic parts over 25g."
ID Picture,,
,,
