Updated,2023/10/12,,,,,,
,,,,,,,
,,公版公模?,公版公模?,,,,
Stage,Version,Planning_v0.2,Planning_v0.3,,,,
Model,Model Name,AC918,AC918_BM,,,,
P/N,P/N,EM-918-NS15AC-X??,EM-918-NS15AC-X??(BM),,,,
ID,ID,Standard,Standard_(Customized for Blue Morning),,,,
MB,MB Ver.,v1.0?,v1.0?,,,,
DB,DB Ver.,v1.0?,v1.1?,,,,
Develop, stage,Planning：2023/10/02-2023/Now,Planning_2023/10/02-2023/Now,,,,
,,Est. Kick-off：2023/xx/xx,Est. Kick-off：2023/xx/xx,,,,
,,EVT：,EVT：,,,,
,,DVT：,DVT：,,,,
,,PVT：,PVT：,,,,
,,Pilot run：,Pilot run：,,,,
PM,Owner,Poling,Poling,,,,
Client,Customized,N/A,Blue Morning,,,,
Structure configuration,,,,,,,
Type,Details,Descriptions,,,,,
Structure,Form,Clamshell / Notebook,Clamshell / Notebook,,,,
,Dimension,357 * 241.8 * 17.9mm,357 * 241.8 * 17.9mm,,,,
,Material,"A/D Cover： Metal, B/C Cover：  Plastic(Anodize)","A/D Cover： Metal, B/C Cover：  Plastic(Anodize)",,,,
,Hinge,"180 degree hinge (make sure will not touch the LCD Panel during the opening)
one-hand opening + soft close (shouldn’t clap when closing)","180 degree hinge (make sure will not touch the LCD Panel during the opening)
one-hand opening + soft close (shouldn’t clap when closing)",,,,
,Weight,1.8 kg,1.8 kg,,,,
LCD,Dimension,"15.6""  16:9","15.6""  16:9",,,,
,Resolution,"15.6""1920* 1080 FHD, IPS, 60Hz (not support to 120/144Hz),45% NTSC, FreeSync","15.6""1920* 1080 FHD, IPS, 60Hz (not support to 120/144Hz),45% NTSC, FreeSync",,,,
Touch panel,Form,N/A,N/A,,,,
IO Interface,MB IO(Left),1* φ5.5mm DC-IN port (MB),1* φ5.5mm DC-IN port (MB),,,,
,,1* HDMI Type A 2.0 (Support HDMI2.1TMDS_4K/60Hz) (MB),1* HDMI Type A 2.0 (Support HDMI2.1TMDS_4K/60Hz) (MB),,,,
,,"2* USB 3.2 Gen1, Super Speed USB 5Gbp, Type-A (MB)","2* USB 3.2 Gen1, Super Speed USB 5Gbp, Type-A (MB)",,,,
,,"1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)","1* USB3.2 Gen2, Super Speed USB 10Gbps,Type-C, full function (Power Delivery,Data,DisplayPort) (MB)",,,,
,,1* φ3.5mm standard headphone jack (MB),1* φ3.5mm standard headphone jack (MB),,,,
,DB IO(Right),1* Mini Security Kensington lock Type slot (DB),1* Mini Security Kensington lock Type slot (DB),,,,
,,"1* 10/100/1000 bps RJ45 
Chipset selection: 
①For  10/100/1000 Mbps (autosense) use Intel i219-LM, Gigabit Ethernet
② For  10/100/1000 Mbps (autosense) use Intel i225-LM , Gigabit Ethernet - Complice IEEE 802.3, 802.3u e 802.3ab - Wake-on-LAN (WoL), SNMP, PXE, CSMA/CD and iAMT  
1* 1G(RTL) RJ45","1* 10/100/1000 bps RJ45 
Chipset selection: 
①For  10/100/1000 Mbps (autosense) use Intel i219-LM, Gigabit Ethernet
② For  10/100/1000 Mbps (autosense) use Intel i225-LM , Gigabit Ethernet - Complice IEEE 802.3, 802.3u e 802.3ab - Wake-on-LAN (WoL), SNMP, PXE, CSMA/CD and iAMT  
1* 1G(RTL) RJ45",,,,
,,"1* Standard SD card, Support SD/MMC/SDHC/SDXC, SD 2.0 (DB)","1* Standard SD card, Support SD/MMC/SDHC/SDXC, SD 2.0 (DB)",,,,
,,"1* USB 3.2 Gen1, Super Speed USB 5Gbp,Type A (DB)","1* USB 3.2 Gen1, Super Speed USB 5Gbp,Type A (DB)",,,,
,,1* SIM card slot (Optional)(DB),1* SIM card slot (Optional)(DB),,,,
,MB IO(Rear),N/A,N/A,,,,
LED indicator,1x Power On/Off/Sleep,"On with Blue light
Off with no light
Sleep with breathing light","On with Blue light
Off with no light
Sleep with breathing light",,,,
,1xWiFi/Bluetooth,"On with Blue light
Off with no light","On with Blue light
Off with no light",,,,
,1xBattery/Charge,"Charging with Red light
Full-charged with Blue light
Off with no light","Charging with Red light
Full-charged with Blue light
Off with no light",,,,
,1xWebcam,"On with Blue light
Off with no light","On with Blue light
Off with no light",,,,
,2xSSD led,"On with Blue light
Off with no light","On with Blue light
Off with no light",,,,
,1xCaps Lock,"On with white light
Off with no light","On with white light
Off with no light",,,,
Power button,Button,Seperated Power button key,Seperated Power button key,,,,
Keyboard,Back light,Optional,N/A,,,,
,Matrix,"US/KB compatible
Customiz language KB (US)--102 keys","US/KB compatible
Customiz language KB (US)--102 keys",,,,
